stationid,agencyid,highwayid,highwayname,milepost,description,upstreamstation,downstreamstation,oppositestation,lon,lat
3106,265,3,I-205               ,23.27,I-205 SB @ Prescott,3164,1140,3107,-122.5667471,45.55549693
3105,297,4,I-205               ,21.68,I-205 SB @ Halsey Street,3107,1143,3164,-122.5643662,45.5343117
3102,3102,3,I-205               ,5.39,I-205 NB @ Blankenship,1113,1116,3195,-122.6658423,45.35741404
3111,89,5,I-405               ,2.12,I-405 NB @ Alder,3109,1132,1119,-122.6856148,45.52192901
1132,65,5,I-405               ,2.3,Couch to I-405 NB,3111,1133,1119,-122.6866726,45.52459918
1133,66,5,I-405               ,2.46,Glisan to I-405 NB,1132,3170,1119,-122.6867519,45.52688001
3109,98,5,I-405               ,1.77,I-405 NB @ Jefferson,3108,3111,1120,-122.6878159,45.51697658
1134,60,6,I-405               ,0.97,5th to I-405 SB,1135,1096,3108,-122.6829148,45.50678758
1135,61,6,I-405               ,1.08,Broadway to I-405 SB,3196,1134,3108,-122.6845144,45.50783358
3196,73,6,I-405               ,1.15,I-405 SB @ Broadway,1121,1135,3108,-122.6854933,45.50847322
1121,62,6,I-405               ,1.37,Montgomery to I-405 SB,3110,3196,3108,-122.688577,45.51100031
3110,97,6,I-405               ,1.77,I-405 SB @ Jefferson,1120,1121,3109,-122.6881078,45.5167656
1120,63,6,I-405               ,1.81,Taylor to I-405 SB,1119,3110,3109,-122.6878096,45.51731699
1119,64,6,I-405               ,2.22,Everett to I-405 SB,1137,1120,3111,-122.6863055,45.52327573
3122,3122,6,I-405               ,4.09,I-405 SB off-ramp,0,1137,3171,-122.6787953,45.54721929
3170,3170,5,I-405               ,4.2,I-405 NB on-ramp,1133,0,3172,-122.6784947,45.54807692
3108,91,5,I-405               ,1.15,I-405 NB @ Broadway,3201,3109,3196,-122.6860779,45.50907112
1096,67,6,I-405               ,0.55,Front Ave SB,1134,0,,,
1137,1137,6,I-405               ,4.09,I-405 SB Data Station,3122,1119,,,
1040,85,2,I-5                 ,289.38,Nyberg SB,1039,3192,1003,-122.7533908,45.38094544
1039,86,2,I-5                 ,290.4,Lower Boones SB,1038,1040,1005,-122.7477495,45.39533885
1131,173,2,I-5                 ,293.1,Haines St SB,1105,3114,1008,-122.7443411,45.43402906
1105,174,2,I-5                 ,293.36,ORE 99W SB,3115,1131,1008,-122.7442217,45.43781682
3115,270,2,I-5                 ,294.05,I-5 SB @ OR 99W,1107,1105,1009,-122.7358661,45.44535525
1107,175,2,I-5                 ,295.18,Capital Hwy SB,1108,3115,1010,-122.7182917,45.45357331
1108,176,2,I-5                 ,296.26,Spring Garden St SB,3116,1107,1011,-122.700515,45.46289416
1035,1035,2,I-5                 ,302.17,Wheeler SB,3121,3120,1018,-122.6656749,45.53287851
1033,1033,2,I-5                 ,303.9,Going St SB,1032,3172,1019,-122.6787281,45.55492781
1032,1032,2,I-5                 ,304.08,Alberta St SB,1031,1033,1019,-122.678697,45.55756793
1031,1031,2,I-5                 ,304.85,Portland Blvd SB,1030,1032,1021,-122.6786798,45.56872899
1147,1147,2,I-5                 ,306.6,I-5 SB at Victory,1027,1028,1023,-122.6834183,45.59349578
1027,1027,2,I-5                 ,307.35,Swift Blvd/Marine Dr SB,1026,1147,1024,-122.6828459,45.60415411
1026,1026,2,I-5                 ,307.9,Jantzen Beach SB,0,1027,1025,-122.6791706,45.61168475
1025,1025,1,I-5                 ,307.9,Jantzen Beach NB,1024,0,1026,-122.6789982,45.61148513
1024,1024,1,I-5                 ,307.46,Marine Dr NB,1023,1025,1027,-122.6821721,45.60547857
1021,1021,1,I-5                 ,305.12,Portland Blvd NB,1020,3123,1031,-122.6785749,45.57237747
2021,,1,I-5                 ,305.12,Portland Blvd NB HOV,2020,2022,1031,-122.6769714,45.56835938
1020,1020,1,I-5                 ,304.4,Alberta St NB,1019,1021,1032,-122.6784354,45.56199747
2020,,1,I-5                 ,304.4,Alberta St NB HOV,2019,2021,1032,-122.6769638,45.55981064
1019,1019,1,I-5                 ,303.88,Going St NB,3171,1020,1033,-122.6785005,45.55445867
2019,,1,I-5                 ,303.88,Going St NB HOV,1018,2020,1033,-122.6771088,45.54814911
3197,,1,I-5                 ,291.3,I-5 NB @ Carman,1005,1006,1038,-122.7438677,45.40765958
1005,81,1,I-5                 ,290.54,Lower Boones NB,1004,3197,1039,-122.7467057,45.39716034
1003,79,1,I-5                 ,289.4,Nyberg EB to NB,3191,1004,1040,-122.7526561,45.38160278
1004,80,1,I-5                 ,289.63,Nyberg WB to NB,1003,1005,1040,-122.7514422,45.38483603
1010,157,1,I-5                 ,295.18,Capital Hwy NB,1009,1011,1107,-122.7182244,45.45346722
1011,158,1,I-5                 ,296.26,Spring Garden St NB,1010,1012,1108,-122.700229,45.46285634
1012,159,1,I-5                 ,296.6,Multnomah Blvd NB,1011,3167,1108,-122.6943448,45.46596987
3182,84,2,I-5                 ,283.67,Wilsonville to I-5 SB,3113,0,1130,-122.7695009,45.30002912
1008,155,1,I-5                 ,293.18,Haines St NB,1007,1009,1131,-122.7440633,45.43510742
1022,1022,1,I-5                 ,306.51,Denver Ave NB,3124,1023,1147,-122.682752,45.59243293
2022,,1,I-5                 ,306.51,Denver Ave NB HOV,2021,2023,1147,,
2023,,1,I-5                 ,306.51,Delta Park NB HOV,2022,1024,1147,-122.6769638,45.58333969
1023,1023,1,I-5                 ,306.53,Delta Park NB,1022,1024,1147,-122.6828714,45.59270452
3165,99,1,I-5                 ,285.28,I-5 NB S. of N. Wilsonville,1130,1001,3113,-122.7690994,45.32320961
1001,103,1,I-5                 ,286.1,Stafford Rd EB to NB,3165,1002,3113,-122.7690642,45.33509274
1002,78,1,I-5                 ,286.3,Stafford Rd WB to NB,1001,3191,3113,-122.7690018,45.33801731
1006,82,1,I-5                 ,291.38,Carman to I-5 NB,3197,1007,3114,-122.7438574,45.40873485
1007,83,1,I-5                 ,292.18,ORE 217/Kruseway NB,1006,1008,3114,-122.7439666,45.42017752
1009,156,1,I-5                 ,293.74,Pacific Hwy W NB,1008,1010,3115,-122.7406938,45.4425829
3167,154,1,I-5                 ,297.3,I-5NB S. of Bertha Blvd,1012,1013,3116,-122.6813569,45.46960547
1013,161,1,I-5                 ,297.33,Terwilliger Blvd NB,3167,1014,3116,-122.6807063,45.46953462
1014,,1,I-5                 ,297.35,Bertha NB,1013,3117,3116,-122.6803013,45.46954807
3118,147,2,I-5                 ,297.6,I-5 Sb N. of Terwilliger Curves,3194,3116,3117,-122.6776176,45.47109536
3117,153,1,I-5                 ,297.6,I-5 NB N. of Terwilliger Curves,1014,3193,3118,-122.6772582,45.47179166
3186,125,2,I-5                 ,300.26,Marquam Bridge SB Catwalk,3185,3187,3119,-122.6709499,45.50692134
1016,,1,I-5                 ,301.09,Morrison BR WB to NB,3032,1017,3120,-122.6669792,45.51715116
1017,,1,I-5                 ,301.11,Morrison BR EB to NB,1016,3168,3120,-122.6669095,45.51743872
3168,47,1,I-5                 ,301.13,I-5 NB N. of Morrison Bridge,1017,1018,3120,-122.6668383,45.51773033
1018,165,1,I-5                 ,302.5,Broadway NB,3168,3169,3121,-122.6680874,45.53667613
3169,71,1,I-5                 ,302.52,I-5 NB @ Broadway,1018,3171,3121,-122.6682863,45.53691725
1030,1030,2,I-5                 ,305.4,Lombard EB to SB,1029,1031,3123,-122.6786881,45.5769314
1029,1029,2,I-5                 ,305.51,Lombard WB to SB,3173,1030,3123,-122.6786818,45.57855397
3173,3173,2,I-5                 ,305.6,I-5SB N. of Lombard off-ramp,3174,1029,3123,-122.6786789,45.57977542
3174,3174,2,I-5                 ,305.92,I-5 SB N. of Columbia off-ramp,1028,3173,3124,-122.6793326,45.58409235
1028,1028,2,I-5                 ,305.97,Columbia Blvd SB,1147,3174,3124,-122.6795922,45.58477073
3113,101,2,I-5                 ,285.28,I-5 SB S. of N. Wilsonville,3192,3182,3165,-122.7695333,45.32350831
3116,146,2,I-5                 ,297.3,I-5SB S. of Bertha Blvd,3118,1108,3167,-122.6829443,45.47001647
3120,90,2,I-5                 ,301.13,I-5 SB N. of Morrison Bridge,1035,3185,3168,-122.6669642,45.51796675
3121,72,2,I-5                 ,302.51,I-5 SB @ Broadway,1034,1035,3169,-122.6688548,45.53736406
1034,1034,2,I-5                 ,303.1,Greeley Ave SB,3172,3121,3171,-122.6756767,45.54416866
3172,3172,2,I-5                 ,303.47,I-5 SB on-ramp,1033,1034,3171,-122.678751,45.54875393
3171,3171,1,I-5                 ,303.47,I-5 NB off-ramp,3169,1019,3172,-122.678526,45.54846143
3123,3123,1,I-5                 ,305.6,I-5NB N. of Lombard off-ramp,1021,3124,3173,-122.6784965,45.57932131
3124,3124,1,I-5                 ,305.92,I-5 NB N. of Columbia off-ramp,3123,1022,3174,-122.679119,45.58402679
1130,113,1,I-5                 ,283.93,Wilsonville to I-5 NB,0,3165,3182,-122.7690306,45.30333703
3032,44,1,I-5                 ,300.8,I-5 NB @ Madison,3119,1016,3185,-122.6677178,45.5130412
3119,3119,1,I-5                 ,300.5,I-5 NB @ Marquam Bridge,1015,3184,3186,-122.6672854,45.50906901
1015,68,1,I-5                 ,299.7,Macadam Ave NB,3193,3119,3187,-122.6730131,45.50006231
3192,102,2,I-5                 ,287.46,I-5 SB @ Norwood,1040,3113,3191,-122.7641356,45.35415502
3191,100,1,I-5                 ,287.46,I-5 NB @ Norwood,1002,1003,3192,-122.7637365,45.35411982
3194,40,2,I-5                 ,298.9,I-5 SB @ Corbett,1036,3118,3193,-122.6766058,45.48897635
1036,69,2,I-5                 ,299.25,Hood Ave SB,3187,3194,3193,-122.6737076,45.49342673
3193,49,1,I-5                 ,298.9,I-5 NB @ Corbett,3117,1015,3194,-122.6760925,45.48916842
1038,87,2,I-5                 ,291.25,Upper Boones SB,3114,1039,3197,-122.744163,45.4072569
3114,,2,I-5                 ,291.3,I-5 SB @ Carman,1131,1038,3197,-122.7441215,45.4079703
3184,,1,I-5                 ,300.8,I-5 NB @ Madison,3119,1016,,,
1061,208,8,I-84                ,2.4,Sandy WB,3176,1062,1057,-122.6262845,45.5339493
1127,206,7,I-84                ,3.69,60th EB,3130,3131,1060,-122.6026323,45.52851022
1057,205,7,I-84                ,2.6,39th EB,3129,3130,1061,-122.6223435,45.53289123
1097,1097,7,I-84                ,0.1,Morrison BR To I-84,0,3125,3128,-122.6658763,45.52733937
3125,277,7,I-84                ,0.45,I-84 EB W. of Grand,1097,1055,3128,-122.6619869,45.52504327
1055,203,7,I-84                ,0.52,Grand EB,3125,3127,3128,-122.6607243,45.52551286
1056,204,7,I-84                ,1.33,16th EB,3127,3129,3128,-122.6457436,45.52986398
1062,207,8,I-84                ,2.1,33rd WB,1061,3175,3129,-122.632126,45.53325565
1060,209,8,I-84                ,3.43,58th WB,3132,3176,3130,-122.6071924,45.52738829
1059,210,8,I-84                ,4.9,82nd/Halsey WB,3134,3132,3133,-122.580831,45.5341512
3134,300,8,I-84                ,5.03,I-84 WB @ 82nd,1145,1059,3133,-122.5784392,45.53331146
3133,282,7,I-84                ,5.03,I-84 EB @ 82nd,3131,3135,3134,-122.5793242,45.53346156
1145,211,8,I-84                ,5.7,Glisan to I-84 WB,3136,3184,3135,-122.5657527,45.53243703
3136,301,8,I-84                ,5.82,I-84 WB @ Halsey,3138,1145,3135,-122.5637312,45.53348447
3135,283,7,I-84                ,5.82,I-84 EB @ Halsey,3133,3137,3136,-122.5641513,45.53309123
3138,302,8,I-84                ,6.7,I-84 WB @ 102nd,3140,3136,3137,-122.5597284,45.54153334
3137,312,7,I-84                ,6.7,I-84 EB @ 102nd,3135,3139,3138,-122.5582238,45.54514417
3140,3140,8,I-84                ,10.04,I-84 WB @ 122nd,3142,3138,3139,-122.5363336,45.5464334
3139,3139,7,I-84                ,10.04,I-84 EB @ 122nd,3137,3141,3140,-122.5286672,45.54479809
3142,3142,8,I-84                ,11.47,I-84 WB @ 148th,3144,3140,3141,-122.5093443,45.54269861
3141,3141,7,I-84                ,11.47,I-84 EB @ 148th,3139,3143,3142,-122.5092509,45.54250506
3144,3144,8,I-84                ,12.16,I-84 WB @ 162nd,3146,3142,3143,-122.4951027,45.54233913
3143,3143,7,I-84                ,12.16,I-84 EB @ 162nd,3141,3145,3144,-122.4951862,45.54217712
3146,3146,8,I-84                ,13.04,I-84 WB @ 181st,3148,3144,3145,-122.4771024,45.54151671
3145,3145,7,I-84                ,13.04,I-84 EB @ 181st,3143,3147,3146,-122.4772433,45.54140438
3148,3148,8,I-84                ,14.4,I-84 WB @ 207th,1058,3146,3147,-122.4493475,45.53935667
1058,1058,8,I-84                ,14.43,207th WB,3150,3148,3147,-122.4487163,45.53936763
3147,3147,7,I-84                ,14.4,I-84 EB @ 207th,3145,3149,3148,-122.4494141,45.53917944
3150,3150,8,I-84                ,15.17,I-84 WB @ 223rd,3152,1058,3149,-122.4338062,45.54194981
3149,3149,7,I-84                ,15.17,I-84 EB @ 223rd,3147,3151,3150,-122.4341835,45.54175322
3152,3152,8,I-84                ,15.94,I-84 WB @ 238th,3202,3150,3151,-122.4188165,45.53987032
3151,3151,7,I-84                ,15.94,I-84 EB @ 238th,3149,3183,3152,-122.4187872,45.53970592
3202,3202,8,I-84                ,16.9,I-84 WB @ Marine Dr,0,3152,3183,-122.4005804,45.54482508
3183,3183,7,I-84                ,16.9,I-84 EB @ Marine Dr,3151,0,3202,-122.4001506,45.54456771
3126,294,8,I-84                ,0.45,I-84 WB W. of Grand,3128,0,,-122.6643936,45.52648694
1111,12,10,OR 217              ,0.45,Wilshire to ORE 217 SB,3154,1080,1063,-122.7842338,45.50340956
1080,13,10,OR 217              ,0.76,Walker Rd SB,1111,3156,1063,-122.7895185,45.50034291
1079,14,10,OR 217              ,1.92,B-H Hwy SB,3156,1078,1065,-122.7930773,45.48423024
1078,15,10,OR 217              ,2.55,Allen Blvd SB,1079,1077,1066,-122.7889443,45.47564405
1075,18,10,OR 217              ,4.35,Scholls Fy SB,1076,1074,1068,-122.7843596,45.4501867
1074,19,10,OR 217              ,5.11,Greenburg SB,1075,1073,1068,-122.774446,45.44224318
1073,20,10,OR 217              ,5.95,99W EB to SB,1074,1072,1070,-122.7612834,45.43453844
1072,21,10,OR 217              ,6.77,72nd SB,1073,1037,1071,-122.750475,45.42557646
1037,88,10,OR 217              ,7,OR 217/Kruse Way to SB I-5,1072,0,1071,-122.7477944,45.42284223
1071,2,9,OR 217              ,6.61,72nd Ave NB to NB,0,1070,1072,-122.753267,45.42731811
1069,4,9,OR 217              ,5.85,99W WB to NB,1070,1068,1073,-122.7620701,45.43548682
1070,3,9,OR 217              ,5.9,99W EB to NB,1071,1069,1073,-122.7614566,45.43492531
1068,5,9,OR 217              ,4.65,Greenburg NB,1069,1067,1075,-122.7824075,45.44651165
1067,6,9,OR 217              ,3.85,Scholls Fy NB,1068,3157,1076,-122.7845351,45.45769259
1066,7,9,OR 217              ,2.68,Denney Rd NB,3157,1065,1078,-122.7872218,45.47388299
1065,8,9,OR 217              ,2.16,Allen Blvd NB,1066,3155,1079,-122.7921411,45.4807823
1063,10,9,OR 217              ,0.66,Walker Rd NB,1064,3153,1080,-122.7875307,45.50155682
1118,11,10,OR 217              ,0.08,Barnes SB,0,3154,3153,-122.7790213,45.50772103
3154,55,10,OR 217              ,0.25,Wilshire at OR 217 SB,1118,1111,3153,-122.7809003,45.50565472
3153,56,9,OR 217              ,0.25,Wilshire at OR 217 NB,1063,0,3154,-122.7808388,45.50549174
3156,51,10,OR 217              ,1.5,217-SB @ TV Hwy,1080,1079,3155,-122.7923253,45.49039329
1064,9,9,OR 217              ,1.34,TV Hwy NB,3155,1063,3156,-122.791813,45.49256148
3155,52,9,OR 217              ,1.5,217-NB @ TV Hwy,1065,1064,3156,-122.7921943,45.49036915
1077,16,10,OR 217              ,3.12,Denney Rd SB,1078,3177,3157,-122.7861568,45.46849103
3177,54,10,OR 217              ,3.4,Hall at OR 217 SB,1077,1076,3157,-122.7862809,45.46424129
1076,17,10,OR 217              ,3.5,Hall Blvd SB,3177,1075,3157,-122.7860524,45.46261752
3157,53,9,OR 217              ,3.4,Hall at OR 217 NB,1067,1066,3177,-122.7860793,45.46386818
3209,116,9,OR 217              ,0.08,NB OR 217 (2DS044) to WB US 26 MP0.08,,,,,
1502,014es00155:_MW,51,SR 14               ,1.55,Grand,1600,1630,1501,-122.641578,45.618578
1501,014es00155:_ME,50,SR 14               ,1.55,Grand,1629,1599,1502,-122.641415,45.618517
1527,014es00432:_ME,50,SR 14               ,4.32,Lieser,1601,1529,1526,-122.586247,45.611206
1526,014es00432:_MW,51,SR 14               ,4.32,Lieser,1528,1602,1527,-122.586248,45.611337
1529,014es00559:_ME,50,SR 14               ,5.59,Ellsworth,1527,1631,1528,-122.561003,45.605912
1528,014es00559:_MW,51,SR 14               ,5.59,Ellsworth,1632,1526,1529,-122.56099,45.606023
1600,014es00240:_MW,51,SR 14               ,2.4,Blanford,1602,1502,1599,-122.623757,45.618269
1599,014es00240:_ME,50,SR 14               ,2.4,Blanford,1501,1601,1600,-122.623905,45.61817
1602,014es00305:_MW,51,SR 14               ,3.05,Shorewood,1526,1600,1601,-122.611332,45.615243
1601,014es00305:_ME,50,SR 14               ,3.05,Shorewood,1599,1527,1602,-122.611613,45.615148
1604,014es00772:_MW,51,SR 14               ,7.72,Cascade Park Dr,1606,1632,1603,-122.51975,45.596117
1603,014es00772:_ME,50,SR 14               ,7.72,Cascade Park Dr,1631,1605,1604,-122.519657,45.595971
1606,014es00852:_MW,51,SR 14               ,8.52,164th,1634,1604,1605,-122.50424,45.591903
1605,014es00852:_ME,50,SR 14               ,8.52,164th,1603,1633,1606,-122.50424,45.591742
1630,014es00058:_MW,51,SR 14               ,0.58,Pearson,1502,,1629,-122.661477,45.619236
1629,014es00058:_ME,50,SR 14               ,0.58,Pearson,,1501,1630,-122.661546,45.619124
1632,014es00630:_MW,51,SR 14               ,6.3,I-205 E,1604,1528,1631,-122.547206,45.602824
1631,014es00630:_ME,50,SR 14               ,6.3,I-205 E,1529,1603,1632,-122.547092,45.602676
1634,014es01239:_MW,51,SR 14               ,12.39,6th Ave,1636,1606,1633,-122.428295,45.58065
1633,014es01239:_ME,50,SR 14               ,12.39,6th Ave,1605,1635,1634,-122.428448,45.580571
1636,014es01314:_MW,51,SR 14               ,13.14,Lady Island,1638,1634,1635,-122.415798,45.57518
1635,014es01314:_ME,50,SR 14               ,13.14,Lady Island,1633,1637,1636,-122.415798,45.57518
1638,014es01465:_MW,51,SR 14               ,14.65,Union,,1636,1637,-122.385283,45.580171
1637,014es01465:_ME,50,SR 14               ,14.65,Union,1635,,1638,-122.385283,45.580171
1618,500es00397:_MW,53,SR 500              ,3.97,Thurston,,1646,1617,-122.586345,45.654872
1617,500es00397:_ME,52,SR 500              ,3.97,Thurston,1645,,1618,-122.586275,45.654714
1644,500es00066:_MW,53,SR 500              ,0.66,15th St,1646,,1643,-122.650732,45.650698
1643,500es00066:_ME,52,SR 500              ,0.66,15th St,,1645,1644,-122.650164,45.650504
1646,500es00146:_MW,53,SR 500              ,1.46,Burnt Bridge,1618,1644,1645,-122.635412,45.646219
1645,500es00146:_ME,52,SR 500              ,1.46,Burnt Bridge,1643,1617,1646,-122.635437,45.646095
3159,3159,12,US 26               ,62.48,US 26 WB @ Cornelius Pass,1129,3158,1082,-122.899933,45.55423508
1129,1129,12,US 26               ,64.24,185th to US26 WB,1136,3159,1084,-122.8680364,45.54220543
1136,1136,12,US 26               ,65.65,Bethany to US26 WB,1095,1129,1085,-122.8425512,45.53258983
1095,1095,12,US 26               ,67,Murray Rd WB,1094,1136,1086,-122.8180485,45.52328771
1094,1094,12,US 26               ,68.2,Cedar Hills SB to WB,1146,1095,1087,-122.7963545,45.51505884
1092,145,12,US 26               ,71.07,Skyline Rd WB,3162,3160,1090,-122.7409011,45.5086375
1139,150,12,US 26               ,71.07,Skyline CD WB,0,0,1090,-122.7409011,45.5086375
1091,141,11,US 26               ,71.37,Skyline Rd EB,1090,3161,1092,-122.7347472,45.50866401
1087,1087,11,US 26               ,68.55,Cedar Hills Blvd EB,1086,1088,1094,-122.790584,45.5126912
1086,1086,11,US 26               ,67.4,Murray Rd EB,1085,1087,1095,-122.8112151,45.52048267
1123,149,11,US 26               ,73.71,US26 EB @ I-405 Count Station,3163,0,1122,-122.6937884,45.51532322
1122,144,12,US 26               ,73.71,US26 WB @ I-405 Count Station,0,1112,1123,-122.6933192,45.51550613
1084,1084,11,US 26               ,64.29,185th Ave SB to EB,1128,1083,1129,-122.8672345,45.54164317
1083,1083,11,US 26               ,64.34,185th Ave NB to EB,1084,1085,1129,-122.8663263,45.5413115
1085,1085,11,US 26               ,65.9,Cornell Rd EB,1083,1086,1136,-122.8383418,45.53073584
1090,140,11,US 26               ,70.9,Canyon Rd EB,3180,1091,1139,-122.7442844,45.50763758
1088,139,11,US 26               ,69.31,ORE 217 NB to EB,1087,1089,1146,-122.7765116,45.50776912
3180,133,11,US 26               ,69.31,US 26 EB @  217 (camera 89),1089,1090,1146,-122.7765116,45.50776912
3178,3178,11,US 26               ,61.05,US26 EB @ Helvetia,1138,1081,3158,-122.9263416,45.56396533
1081,1081,11,US 26               ,61.25,Helvetia EB,3178,1082,3158,-122.9227087,45.56256082
1082,1082,11,US 26               ,62.47,Cornelius Ps Rd EB,1081,1128,3159,-122.9004541,45.55417188
1128,1128,11,US 26               ,62.8,Cornelius Ps Rd to EB US26,1082,1084,3159,-122.8944504,45.55190983
3162,137,12,US 26               ,72.17,US 26 WB @ Zoo Interchange,3181,1092,3161,-122.7189899,45.50725948
3161,129,11,US 26               ,72.17,US 26 EB @ Zoo Interchange,1091,1148,3162,-122.7186243,45.50703142
1148,142,11,US 26               ,72.21,Zoo On Ramp to EB US26,3161,3163,3162,-122.7178418,45.50684423
3181,136,12,US 26               ,73.17,US 26WB @ Jefferson,1112,3162,3163,-122.7023011,45.51317322
1112,143,12,US 26               ,73.33,Jefferson to Sunset WB,1122,3181,3163,-122.7004239,45.51508886
3158,3158,12,US 26               ,61.05,US26 WB @ Helvetia,3159,0,3178,-122.9262509,45.56418311
1146,151,12,US 26               ,69.31,Barnes WB,3160,1094,3180,-122.7755415,45.50763796
3160,135,12,US 26               ,69.31,US 26 WB @  217 (camera 89),1092,1146,3180,-122.7755415,45.50763796
3163,130,11,US 26               ,73.17,US 26 EB @ Jefferson,1148,1123,3181,-122.7026746,45.51274276
1138,1138,11,US 26               ,58.8,Jackson School Road EB,0,3178,,-122.9671595,45.57925851
3210,118,12,US 26               ,69.1,WB US 26 (2DS045) to SB OR 217 MP69.1,,,,,
3211,119,11,US 26               ,69.16,EB US 26 (2DS046) to SB OR 217 MP69.16,,,,,
1089,138,11,US 26               ,69.31,Parkway EB,1088,3180,,,
1610,205es02780:_MN,54,WA I-205            ,27.8,10th,1608,1611,1533,-122.553961,45.614199
1536,205es03481:_MS,55,WA I-205            ,34.81,50th,1537,1642,1535,-122.620282,45.699157
1535,205es03481:_MN,54,WA I-205            ,34.81,50th,1641,1614,1536,-122.620273,45.699444
1614,205es03562:_MN,54,WA I-205            ,35.62,119th,1535,,1537,-122.63154,45.707237
1611,205es02936:_MN,54,WA I-205            ,29.36,18th,1610,1639,1543,-122.560744,45.635825
